Source,Filename,Youtube,Delay,Speed,Remove Black Bar,Notes
DLC1,Alice In Chains - Would,https://www.youtube.com/watch?v=Nco_kh8xJDs,-4880,100,FALSE,
DLC1,Alice In Chains - Your Decision,https://www.youtube.com/watch?v=2D37POA11KY,-4371,100,FALSE,
DLC1,Alien Ant Farm - Smooth Criminal,https://www.youtube.com/watch?v=CDl9ZMfj6aE,-3462,100.1,FALSE,"Desyncs in second half, could recut"
DLC1,All That Remains - Chiron,https://www.youtube.com/watch?v=dqw2WAcv8Tw,-3670,100,TRUE,"Black bars added to all side, might need manual crop"
DLC1,All That Remains - This Calling,https://www.youtube.com/watch?v=raRHUG0PkQU,-300,100,FALSE,
DLC1,All That Remains - Two Weeks,https://www.youtube.com/watch?v=gGtW4AFyLyM,24024,100,FALSE,"Desyncs at solo , could recut"
DLC1,All Time Low - Weightless,https://www.youtube.com/watch?v=TpG3BxRctQ4,10844,100,FALSE,
DLC1,All-American Rejects - Dirty Little Secret,https://www.youtube.com/watch?v=gPDcwjJ8pLg,-3295,100.15,FALSE,
DLC1,All-American Rejects - Gives You Hell,https://www.youtube.com/watch?v=uxUATkpMQ8A,2502,100,FALSE,
DLC1,All-American Rejects - Move Along,https://www.youtube.com/watch?v=XleOkGsYgO8,167,100.1,FALSE,
DLC1,All-American Rejects - Real World,Not Found,,,FALSE,
DLC1,Alphabeat - Fascination,https://www.youtube.com/watch?v=-8UxX5STKL4,-2880,100,FALSE,
DLC1,Anberlin - Feel Good Drag,https://www.youtube.com/watch?v=R4sqFmSqrSc,-4338,100,FALSE,
DLC1,Angels & Airwaves - It Hurts,Not Found,,,FALSE,
DLC1,Anthrax - Among the Living,Not Found,,,FALSE,
DLC1,Anthrax - I'm the Man,https://www.youtube.com/watch?v=GiHdr4rWG98,-3086,100,FALSE,Live version?
DLC1,Anthrax - Indians,https://www.youtube.com/watch?v=RzpRU347BDU,-20153,100,FALSE,"Loses sync quite early, different edit"
DLC1,Anthrax - Madhouse (Live),Not Found,,,FALSE,
DLC1,Anthrax - Metal Thrashing Mad (Live),Not Found,,,FALSE,
DLC1,Anvil - 666,Not Found,,,FALSE,
DLC1,Anvil - Metal on Metal,https://www.youtube.com/watch?v=4dYP_psMuOU,-3871,99.62,FALSE,
DLC1,Anvil - This Is Thirteen,Not Found,,,FALSE,
DLC1,At the Gates - Blinded By Fear,https://www.youtube.com/watch?v=nCtjAmtIGf0,767,100.07,TRUE,
DLC1,Atreyu - Coffin Nails,Not Found,,,FALSE,
DLC1,Audioslave - Gasoline,Not Found,,,FALSE,
DLC1,Authority Zero - No Regrets,https://www.youtube.com/watch?v=frvW7l6YiNU,-3583,100,FALSE,
DLC1,Avenged Sevenfold - Afterlife,https://www.youtube.com/watch?v=HIRNdveLnJI,-17100,100,FALSE,"Bridge cut, need recut"
DLC1,Avenged Sevenfold - Bat Country,https://www.youtube.com/watch?v=IHS3qJdxefY,-4421,100,FALSE,Shorter edit
DLC1,Avenged Sevenfold - Critical Acclaim,https://www.youtube.com/watch?v=qB-z8yxa03M,3400,100,FALSE,
DLC1,Avenged Sevenfold - Nightmare,https://www.youtube.com/watch?v=94bGzWyHbu0,-4400,100,FALSE,
DLC1,Avenged Sevenfold - Scream,https://www.youtube.com/watch?v=31u0ZzJbmzg,30898,100,FALSE,
